transaction_id,account_id,customer_id,direction,transaction_type,channel,amount,currency,transaction_timestamp,status,narration,counterparty_name,counterparty_account,counterparty_bank,counterparty_country,origin_country,destination_country,is_cross_border
EXT_0001,EX_ACC_001,EX_CUST_001,CREDIT,CASH_DEPOSIT,CASH_COUNTER,15000.00,USD,2026-09-17T10:15:00,POSTED,Cash deposit - counter,,,,,IN,IN,N
EXT_0002,EX_ACC_001,EX_CUST_001,CREDIT,CASH_DEPOSIT,CASH_COUNTER,9400.00,USD,2026-09-18T09:30:00,POSTED,Cash deposit,,,,,IN,IN,N
EXT_0003,EX_ACC_001,EX_CUST_001,CREDIT,CASH_DEPOSIT,CASH_COUNTER,9750.00,USD,2026-09-18T13:45:00,POSTED,Cash deposit,,,,,IN,IN,N
EXT_0004,EX_ACC_001,EX_CUST_001,CREDIT,CASH_DEPOSIT,CASH_COUNTER,9250.00,USD,2026-09-18T18:20:00,POSTED,Cash deposit,,,,,IN,IN,N
EXT_0005,EX_ACC_002,EX_CUST_002,CREDIT,WIRE_IN,SWIFT,50000.00,USD,2026-09-17T09:00:00,POSTED,Inward remittance - consultancy,Meridian Holdings Ltd,AE4409876543,Northern Star Bank,AE,AE,IN,Y
EXT_0006,EX_ACC_002,EX_CUST_002,DEBIT,TRANSFER_OUT,RTGS,22000.00,USD,2026-09-17T14:30:00,POSTED,Outward transfer,Larkspur Ventures,9912345678,,,IN,IN,N
EXT_0007,EX_ACC_002,EX_CUST_002,DEBIT,TRANSFER_OUT,RTGS,18000.00,USD,2026-09-17T21:10:00,POSTED,Outward transfer,Cobalt Trade Partners,9987654321,,,IN,IN,N
EXT_0008,EX_ACC_002,EX_CUST_002,DEBIT,WIRE_OUT,SWIFT,6000.00,USD,2026-09-18T08:45:00,POSTED,Outward transfer,Westbridge Logistics,9955512340,,,IN,IN,N
EXT_0009,EX_ACC_002,EX_CUST_002,DEBIT,WIRE_OUT,SWIFT,7400.00,USD,2026-09-18T11:20:00,POSTED,Machinery parts settlement,Zarand Petrochem FZE,IR6600112233,Bank Mellat,IR,IN,IR,Y
EXT_0010,EX_ACC_003,EX_CUST_003,DEBIT,TRANSFER_OUT,NEFT,5000.00,USD,2026-09-18T09:00:00,POSTED,Sub-contractor settlement,Pinnacle Works,88214500991,,,IN,IN,N
EXT_0011,EX_ACC_003,EX_CUST_003,DEBIT,TRANSFER_OUT,NEFT,3000.00,USD,2026-09-18T12:00:00,POSTED,Sub-contractor settlement,Pinnacle Works,88214500991,,,IN,IN,N
EXT_0012,EX_ACC_003,EX_CUST_003,DEBIT,TRANSFER_OUT,NEFT,2000.00,USD,2026-09-18T15:00:00,POSTED,Sub-contractor settlement,Pinnacle Works,88214500991,,,IN,IN,N
EXT_0013,EX_ACC_003,EX_CUST_003,DEBIT,TRANSFER_OUT,NEFT,4000.00,USD,2026-09-18T17:30:00,POSTED,Sub-contractor settlement,Pinnacle Works,88214500991,,,IN,IN,N
EXT_0014,EX_ACC_004,EX_CUST_004,CREDIT,TRANSFER_IN,NEFT,3200.00,USD,2026-09-15T09:05:00,POSTED,Monthly salary,Acme Systems Pvt Ltd,50011122233,,,IN,IN,N
EXT_0015,EX_ACC_004,EX_CUST_004,DEBIT,CARD_PAYMENT,CARD_POS,128.40,USD,2026-09-16T13:22:00,POSTED,Retail purchase,,,,,IN,IN,N
EXT_0016,EX_ACC_004,EX_CUST_004,DEBIT,CARD_PAYMENT,CARD_POS,64.95,USD,2026-09-17T18:47:00,POSTED,Retail purchase,,,,,IN,IN,N
EXT_0017,EX_ACC_004,EX_CUST_004,CREDIT,CHEQUE_DEPOSIT,BRANCH,9850.00,USD,2026-09-18T11:10:00,POSTED,Property sale proceeds - single documented event,Harbour Point Realty,70088899900,,,IN,IN,N
