customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,national_id,city,state,country,postal_code,occupation,annual_income,marital_status,education_level,employment_status,customer_since,customer_segment,kyc_status,risk_rating,is_politically_exposed,preferred_channel,email_verified,phone_verified,num_complaints_last_year
CUST_10001,Clean,Control1,M,1985-04-12,40,clean.control1@example.com,+91-9816001840,NID112011593,Mumbai,Maharashtra,IN,400001,Salaried,850000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_10002,Clean,Control2,M,1985-04-12,40,clean.control2@example.com,+91-9860454903,NID612047756,Mumbai,Maharashtra,IN,400001,Salaried,850000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_10003,Clean,Control3,M,1985-04-12,40,clean.control3@example.com,+91-9880551841,NID146042531,Mumbai,Maharashtra,IN,400001,Salaried,850000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_10004,Clean,Control4,M,1985-04-12,40,clean.control4@example.com,+91-9821343047,NID176192511,Mumbai,Maharashtra,IN,400001,Salaried,850000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_20001,Rohit,Mehra,M,1985-04-12,40,rohit.mehra@example.com,+91-9836305221,NID709282028,Mumbai,Maharashtra,IN,400001,Jeweller,4200000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,PREMIUM,VERIFIED,MEDIUM,N,MOBILE_APP,Y,Y,0
CUST_20002,Sunil,Kapoor,M,1985-04-12,40,sunil.kapoor@example.com,+91-9819262392,NID132200627,Mumbai,Maharashtra,IN,400001,Trader,850000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,MEDIUM,N,MOBILE_APP,Y,Y,1
CUST_20003,Farhan,Sheikh,M,1985-04-12,40,farhan.sheikh@example.com,+91-9864634756,NID727200196,Mumbai,Maharashtra,IN,400001,Consultant,1800000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,SME,VERIFIED,MEDIUM,N,MOBILE_APP,Y,Y,0
CUST_20004,Imran,Qureshi,M,1985-04-12,40,imran.qureshi@example.com,+91-9874152235,NID629184097,Mumbai,Maharashtra,IN,400001,Exporter,6500000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,SME,VERIFIED,HIGH,N,MOBILE_APP,Y,Y,0
CUST_20005,Anita,Deshpande,F,1985-04-12,40,anita.deshpande@example.com,+91-9890822105,NID399128229,Mumbai,Maharashtra,IN,400001,Teacher,620000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_20006,Vikram,Nair,M,1985-04-12,40,vikram.nair@example.com,+91-9886122859,NID919647140,Mumbai,Maharashtra,IN,400001,Contractor,2100000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,SME,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_20007,Priya,Chandran,F,1985-04-12,40,priya.chandran@example.com,+91-9819548239,NID546305535,Mumbai,Maharashtra,IN,400001,Company Director,9800000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,HNI,VERIFIED,HIGH,Y,MOBILE_APP,Y,Y,0
CUST_20008,Sanjay,Bhatt,M,1957-02-19,68,sanjay.bhatt@example.com,+91-9876452751,NID117062377,Mumbai,Maharashtra,IN,400001,Retired,240000.00,MARRIED,GRADUATE,RETIRED,2019-06-01,RETAIL,VERIFIED,LOW,N,MOBILE_APP,Y,Y,0
CUST_20009,Deepak,Raghav,M,1985-04-12,40,deepak.raghav@example.com,+91-9812885733,NID347201854,Mumbai,Maharashtra,IN,400001,Import-Export,5400000.00,MARRIED,GRADUATE,EMPLOYED,2019-06-01,SME,VERIFIED,HIGH,N,MOBILE_APP,Y,Y,2
